id,telecode,name,pinyin,abbr,area_code,area_name,country_code,country_name,longitude,latitude,geo_source,geo_updated_at,created_at,updated_at
117,SHM,施家嘴,shijiazui,sjz,1902,昆明,cn,中国,102.990658,24.950028,amap,2026-04-09 05:58:46.815272+00:00,2026-04-08 08:39:59.339191+00:00,2026-04-09 05:58:46.815272+00:00
118,SYT,沈阳,shenyang,sy,0205,沈阳,cn,中国,123.395147,41.7944,amap,2026-04-09 05:58:47.845437+00:00,2026-04-08 08:39:59.339563+00:00,2026-04-09 05:58:47.845437+00:00
119,SBT,沈阳北,shenyangbei,syb,0205,沈阳,cn,中国,123.436213,41.819192,amap,2026-04-09 05:58:49.046789+00:00,2026-04-08 08:39:59.339949+00:00,2026-04-09 05:58:49.046789+00:00
120,SDT,沈阳东,shenyangdong,syd,0205,沈阳,cn,中国,123.500928,41.822493,amap,2026-04-09 05:58:49.839733+00:00,2026-04-08 08:39:59.340337+00:00,2026-04-09 05:58:49.839733+00:00
121,SOT,沈阳南,shenyangnan,syn,0205,沈阳,cn,中国,123.407006,41.668789,amap,2026-04-09 05:58:51.316157+00:00,2026-04-08 08:39:59.340708+00:00,2026-04-09 05:58:51.316157+00:00
122,OYJ,水源,shuiyuan,sy,2102,兰州,cn,中国,103.878743,36.124645,amap,2026-04-09 05:58:51.838690+00:00,2026-04-08 08:39:59.341060+00:00,2026-04-09 05:58:51.838690+00:00
123,OOT,沈阳西,shenyangxi,syx,0205,沈阳,cn,中国,123.231684,41.914818,amap,2026-04-09 05:58:52.870121+00:00,2026-04-08 08:39:59.341423+00:00,2026-04-09 05:58:52.870121+00:00
124,SAJ,桑园子,sangyuanzi,syz,2102,兰州,cn,中国,103.976509,36.054729,amap,2026-04-09 05:58:53.867490+00:00,2026-04-08 08:39:59.341786+00:00,2026-04-09 05:58:53.867490+00:00
125,TDV,太原东,taiyuandong,tyd,0405,太原,cn,中国,112.586731,37.885498,amap,2026-04-09 05:58:54.863573+00:00,2026-04-08 08:39:59.342185+00:00,2026-04-09 05:58:54.863573+00:00
126,TNV,太原南,taiyuannan,tyn,0405,太原,cn,中国,112.612433,37.79276,amap,2026-04-09 05:58:55.875565+00:00,2026-04-08 08:39:59.342628+00:00,2026-04-09 05:58:55.875565+00:00
127,TYV,太原,taiyuan,ty,0405,太原,cn,中国,112.588161,37.860366,amap,2026-04-09 05:58:56.892797+00:00,2026-04-08 08:39:59.342982+00:00,2026-04-09 05:58:56.892797+00:00
